target,tf,confidence,mor,TF_logFC,TF_FDR,TF_Reg,TG_logFC,TG_FDR,TG_Reg,,,
ALK,GRHL2,C,1,-1.849369211,1.02097452900098e-16,DOWN,-2.611519267,2.69040185570882e-31,DOWN,,,
AMHR2,NR5A1,A,1,1.561423197,4.29441517618819e-14,UP,3.508233022,1.0327825835892e-63,UP,,,
APOA4,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,-5.564653865,8.80182213994933e-88,DOWN,,,Significant Interactions
BARX2,ELF3,C,1,-2.133578397,5.73417079206268e-22,DOWN,-3.393132234,1.99009237805424e-48,DOWN,,,
CYP26A1,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,-2.396458057,1.25238789024679e-26,DOWN,,,
CYP2C9,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,-1.829977378,5.39277772473295e-16,DOWN,,,
FAT2,GRHL2,C,1,-1.849369211,1.02097452900098e-16,DOWN,-1.527396229,4.18778952147997e-12,DOWN,,,
GJB1,SOX10,A,-1,-7.374754143,3.09935216217999e-150,DOWN,-2.058308521,3.30118544480891e-19,DOWN,,,
GRHL2,ELF3,C,1,-2.133578397,5.73417079206268e-22,DOWN,-1.849369211,1.02097452900098e-16,DOWN,,,
ITGB6,ELF3,C,1,-2.133578397,5.73417079206268e-22,DOWN,-3.025540122,6.45016919431063e-40,DOWN,,,
ITGB6,GRHL2,C,1,-1.849369211,1.02097452900098e-16,DOWN,-3.025540122,6.45016919431063e-40,DOWN,,,
MAG,SOX10,A,1,-7.374754143,3.09935216217999e-150,DOWN,-2.172817768,9.33651628537632e-23,DOWN,,,
MPZ,SOX10,A,1,-7.374754143,3.09935216217999e-150,DOWN,-4.005698453,2.1475415317009e-63,DOWN,,,
PCK1,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,-1.648413317,8.28088046464957e-14,DOWN,,,
PLP1,SOX10,A,1,-7.374754143,3.09935216217999e-150,DOWN,-1.741751545,2.35650278817861e-15,DOWN,,,
PROZ,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,2.102658707,5.49414405514754e-24,UP,,,
REG4,CDX2,A,1,-2.158070059,1.13414243659578e-21,DOWN,1.659124388,3.20393177879038e-14,UP,,,
SCEL,GRHL2,C,1,-1.849369211,1.02097452900098e-16,DOWN,-2.331899524,6.30645328017759e-23,DOWN,,,
SLC15A1,CDX2,A,1,-2.158070059,1.13414243659578e-21,DOWN,-1.979835047,1.77077272289628e-18,DOWN,,,
SLC26A3,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,-3.205731808,8.3385060365038e-42,DOWN,,,
TYR,SOX10,A,1,-7.374754143,3.09935216217999e-150,DOWN,5.283604417,7.81907059056492e-122,UP,,,
UGT2B7,HNF4A,A,1,-1.704874577,4.26791574779576e-14,DOWN,-1.930159726,3.06545156517426e-18,DOWN,,,
XIRP2,OTX2,C,1,-1.917182483,4.27116952444782e-18,DOWN,-1.796535694,3.20626478373624e-16,DOWN,,,
