"target","tf","confidence","mor","TF_logFC","TF_FDR","TF_Reg","TG_logFC","TG_FDR","TG_Reg"
"ALK","GRHL2","C",1,-1.84936921142003,1.02097452900098e-16,"DOWN",-2.61151926709374,2.69040185570882e-31,"DOWN"
"AMHR2","NR5A1","A",1,1.56142319716003,4.29441517618819e-14,"UP",3.50823302184693,1.0327825835892e-63,"UP"
"APOA4","HNF4A","A",1,-1.70487457662966,4.26791574779576e-14,"DOWN",-5.56465386521063,8.80182213994933e-88,"DOWN"
"BARX2","ELF3","C",1,-2.13357839707841,5.73417079206268e-22,"DOWN",-3.393132233928,1.99009237805424e-48,"DOWN"
"CYP26A1","HNF4A","A",1,-1.70487457662966,4.26791574779576e-14,"DOWN",-2.39645805694832,1.25238789024679e-26,"DOWN"
"CYP2C9","HNF4A","A",1,-1.70487457662966,4.26791574779576e-14,"DOWN",-1.82997737773074,5.39277772473295e-16,"DOWN"
"FAT2","GRHL2","C",1,-1.84936921142003,1.02097452900098e-16,"DOWN",-1.5273962290267,4.18778952147997e-12,"DOWN"
"GRHL2","ELF3","C",1,-2.13357839707841,5.73417079206268e-22,"DOWN",-1.84936921142003,1.02097452900098e-16,"DOWN"
"ITGB6","ELF3","C",1,-2.13357839707841,5.73417079206268e-22,"DOWN",-3.02554012153405,6.45016919431063e-40,"DOWN"
"ITGB6","GRHL2","C",1,-1.84936921142003,1.02097452900098e-16,"DOWN",-3.02554012153405,6.45016919431063e-40,"DOWN"
"MAG","SOX10","A",1,-7.37475414266297,3.09935216217999e-150,"DOWN",-2.1728177677914,9.33651628537632e-23,"DOWN"
"MPZ","SOX10","A",1,-7.37475414266297,3.09935216217999e-150,"DOWN",-4.00569845260459,2.1475415317009e-63,"DOWN"
"PCK1","HNF4A","A",1,-1.70487457662966,4.26791574779576e-14,"DOWN",-1.64841331699881,8.28088046464957e-14,"DOWN"
"PLP1","SOX10","A",1,-7.37475414266297,3.09935216217999e-150,"DOWN",-1.74175154530015,2.35650278817861e-15,"DOWN"
"SCEL","GRHL2","C",1,-1.84936921142003,1.02097452900098e-16,"DOWN",-2.33189952391847,6.30645328017759e-23,"DOWN"
"SLC15A1","CDX2","A",1,-2.15807005858981,1.13414243659578e-21,"DOWN",-1.97983504707453,1.77077272289628e-18,"DOWN"
"SLC26A3","HNF4A","A",1,-1.70487457662966,4.26791574779576e-14,"DOWN",-3.20573180846771,8.3385060365038e-42,"DOWN"
"UGT2B7","HNF4A","A",1,-1.70487457662966,4.26791574779576e-14,"DOWN",-1.93015972577987,3.06545156517426e-18,"DOWN"
"XIRP2","OTX2","C",1,-1.91718248267164,4.27116952444782e-18,"DOWN",-1.79653569375166,3.20626478373624e-16,"DOWN"
