"mRNA","logFC","FDR","Delta","YA","OA","start","end","diff_exp","gene"
"ENSG00000112936",1.58058040383769,1.52177740106289e-14,8402.99150085722,5316.3961038961,12363.1574074074,40909497,40984643,"UP","C7"
"ENSG00000137745",1.51494815109453,2.03815936187166e-13,5035.92375005398,3324.15584415584,10088.0277777778,102942995,102955732,"UP","MMP13"
"ENSG00000275385",2.1994485893254,3.01571346867817e-27,1458.44864672819,663.097402597403,2573.82407407407,36064272,36072032,"UP","CCL18"
"ENSG00000107165",2.81166564500967,4.56925672066941e-43,1259.15151216712,447.831168831169,2099.17592592593,12685439,12710285,"UP","TYRP1"
"ENSG00000149968",1.88445121561204,2.42436786935278e-20,967.274124938212,513.292207792208,2535.12037037037,102835801,102843609,"UP","MMP3"
"ENSG00000113389",1.80567495086937,9.37586655308522e-19,911.115439819838,504.584415584416,1473.66666666667,32689070,32791724,"UP","NPR3"
"ENSG00000169429",1.81794187783114,5.3850172815912e-19,830.693194812336,456.941558441558,1672.00925925926,73740541,73743716,"UP","CXCL8"
"ENSG00000153531",1.91600345948773,5.46584389675276e-21,795.751073151788,415.318181818182,820.75,113399610,113453524,"UP","ADPRHL1"
"ENSG00000107317",3.88868311982157,2.1268308450015e-76,751.323880176435,193.207792207792,2013.59259259259,136975092,136981742,"UP","PTGDS"
"ENSG00000073756",1.835124898363,2.45308998042453e-19,724.612174153617,394.857142857143,1610.13888888889,186671791,186680423,"UP","PTGS2"
"ENSG00000189001",2.1667276936565,1.76145250529108e-26,629.743927534878,290.642857142857,1195.14814814815,35523367,35528351,"UP","SBSN"
"ENSG00000262406",1.80765645328725,8.67966412505576e-19,559.152745511632,309.324675324675,1189.81481481481,102862736,102874982,"UP","MMP12"
"ENSG00000176956",1.67029850301963,3.77301157758918e-16,484.993947149519,290.363636363636,706.305555555556,143157914,143160711,"UP","LY6H"
"ENSG00000170162",1.93555095579745,2.13359641827621e-21,440.337842443919,227.5,696.537037037037,117265558,117273565,"UP","VGLL2"
"ENSG00000112379",1.53863034473433,8.3511727960577e-14,427.379556015297,277.766233766234,700.046296296296,138161939,138344663,"UP","ARFGEF3"
"ENSG00000188803",1.54535178620946,6.44263704646135e-14,381.912620982765,247.136363636364,658.444444444444,11241213,11564063,"UP","SHISA6"
"ENSG00000149527",1.85691355457704,9.31836205272059e-20,380.775799610313,205.058441558442,609.518518518518,2425980,2505532,"UP","PLCH2"
"ENSG00000162383",1.85611135750245,9.80282209363161e-20,342.464598130355,184.506493506494,655.453703703704,53087179,53142638,"UP","SLC1A7"
"ENSG00000139304",1.62140687842994,2.96867018052539e-15,339.095138529826,209.136363636364,569.333333333333,80402178,80680273,"UP","PTPRQ"
"ENSG00000198744",1.75971155053444,7.66045360781014e-18,323.135603490671,183.62987012987,550.814814814815,634376,634922,"UP","MTCO3P12"
"ENSG00000254337",2.06640407263368,3.44863177006928e-24,313.301744752753,151.616883116883,595.194444444444,68848737,68852763,"UP","LOC107986951"
"ENSG00000115602",1.54666868886335,6.22129741886707e-14,290.080725587274,187.551948051948,539.083333333333,102311502,102352037,"UP","IL1RL1"
"ENSG00000111049",2.01284494013089,5.24019430398773e-23,243.737223659486,121.090909090909,503.833333333333,80716912,80719671,"UP","MYF5"
"ENSG00000198829",2.05522233271233,6.32667851705731e-24,226.768427775636,110.337662337662,537.259259259259,151873643,151884619,"UP","SUCNR1"
"ENSG00000163735",2.18772544130582,6.26225138926286e-27,221.542715955612,101.266233766234,498.685185185185,73995642,73998677,"UP","CXCL5"
"ENSG00000140274",1.79459211846879,1.6542707274004e-18,213.451583337616,118.941558441558,381.796296296296,45114326,45118421,"UP","DUOXA2"
"ENSG00000160886",1.6106680131086,4.90823258386547e-15,188.176226570454,116.831168831169,338.055555555556,142700111,142705127,"UP","LY6K"
"ENSG00000131737",2.40104943083773,5.2262719398925e-32,178.737861526778,74.4415584415584,434.907407407407,41377650,41382403,"UP","KRT34"
"ENSG00000225756",1.51481337784618,2.26111219124378e-13,172.393631559299,113.805194805195,284.944444444444,133654586,133657313,"UP","DBH-AS1"
"ENSG00000117322",2.34044099600254,1.42402866117677e-30,169.879541904652,72.5844155844156,244.314814814815,207454230,207489895,"UP","CR2"
"ENSG00000166396",2.91943576054789,5.55599923554195e-46,166.824900602737,57.1428571428571,464.138888888889,63752935,63805376,"UP","SERPINB7"
