"mRNA","logFC","FDR","Delta","YA","OA","start","end","diff_exp","gene"
"ENSG00000108821",0.261646749235833,0.500329706257726,212621.603662386,812628.493506494,911841.916666667,50184101,50201632,"No","COL1A1"
"ENSG00000164692",0.32362646605554,0.331921834659028,173491.209996562,536084.74025974,633168.398148148,94394895,94431227,"No","COL1A2"
"ENSG00000115414",0.316038903171168,0.350893759660063,106179.545150003,335969.857142857,395786.12037037,215360440,215436073,"No","FN1"
"ENSG00000168542",0.141727325831637,0.800119723125562,81950.6676674539,578227.714285714,601207.712962963,188974373,189012746,"No","COL3A1"
"ENSG00000087086",0.403177839307318,0.169386742508147,72661.3044945721,180221.474025974,220957,48965309,48966879,"No","FTL"
"ENSG00000113140",0.189167276073537,0.695364672149588,47975.5383422144,253614.363636364,272775.546296296,151661096,151686975,"No","SPARC"
"ENSG00000130635",0.523818620631852,0.0432557210788224,38024.2657852353,72590.5194805195,95484.9444444444,134641803,134844843,"No","COL5A1"
"ENSG00000205542",0.333740470733185,0.308434142928329,37580.3212575991,112603.428571429,131044.62037037,12975110,12977227,"No","TMSB4X"
"ENSG00000142156",0.223712936538889,0.606170299489155,35397.6214690473,158227.87012987,174248.148148148,45981769,46005050,"No","COL6A1"
"ENSG00000074800",0.492142084750485,0.064402878488295,34030.2190402539,69147.1428571429,90189.3611111111,8861000,8879190,"No","ENO1"
"ENSG00000163430",0.420405614565811,0.143206404064793,30431.5436038123,72386.1493506494,89236.3796296296,120392293,120450993,"No","FSTL1"
"ENSG00000011465",0.333025100462036,0.309991121451666,29063.7730550248,87272.0194805195,101566.731481481,91140484,91183217,"No","DCN"
"ENSG00000210082",0.134417606390462,0.815483255704329,28903.5412113538,215027.941558442,220542.12037037,1671,3229,"No","ENSG00000210082"
"ENSG00000163359",0.258442094771542,0.509254426389091,27608.4745062847,106826.538961039,122004.074074074,237324003,237414207,"No","COL6A3"
"ENSG00000164733",0.337701873639609,0.299477565326699,27377.0523221012,81068.7012987013,94025.287037037,11842524,11869533,"No","CTSB"
